fpl_id,fpl_name,xg_per90,xa_per90,match_score
168,Facundo Buonanotte,0.2620066905292236,0.2014317035113022,100.0
220,Robert Lynch Sánchez,0.0,0.0005058759707026184,95.0
221,Filip Jörgensen,0.0,0.0,93.33333333333333
222,Mike Penders,0.0,0.0,0.0
223,Gabriel Słonina,0.16289173300857798,0.04625214306129651,90.0
224,Marc Cucurella Saseta,0.09466159168608532,0.05413022656328307,90.0
225,Reece James,0.04922612933284145,0.11220445098765826,100.0
226,Trevoh Chalobah,0.11566285497639975,0.0976689245816709,100.0
227,Levi Samuels Colwill,0.0,0.0,0.0
228,Malo Gusto,0.07620203038181003,0.06577592595430726,100.0
229,Benoît Badiashile Mukinayi,0.0,0.0,96.15384615384616
230,Wesley Fofana,0.015459606258336131,0.03971220050382134,100.0
231,Mamadou Sarr,0.0,0.0,0.0
232,Tosin Adarabioyo,0.07570080330317959,0.02132802963890928,100.0
233,Josh Acheampong,0.0,0.0,0.0
234,Aarón Anselmino,0.0,0.0,0.0
235,Cole Palmer,0.4398021315567223,0.36118121956194643,100.0
236,Pedro Lomba Neto,0.0,0.0,90.0
237,Enzo Fernández,0.18768768577080566,0.23678198611298534,100.0
238,Estêvão Almeida de Oliveira Gonçalves,0.0,0.0,0.0
239,Jamie Bynoe-Gittens,0.0,0.0,0.0
240,Christopher Nkunku,0.5153909678186941,0.20640866041760508,100.0
241,Moisés Caicedo Corozo,0.01839668108208209,0.07786009642489736,90.0
243,Tyrique George,0.0,0.0,0.0
244,Roméo Lavia,0.015880264072533117,0.07842318154871464,90.9090909090909
245,Mykhailo Mudryk,0.0,0.0,0.0
246,Andrey Nascimento dos Santos,0.0,0.0,0.0
247,Dário Luís Essugo,0.0,0.0,0.0
248,Kendry Páez Andrade,0.0,0.0,0.0
249,João Pedro Junqueira de Jesus,0.4039111079011537,0.25603378514134434,90.0
250,Liam Delap,0.402017365074122,0.09382287250257797,100.0
251,Nicolas Jackson,0.5427490757922817,0.13623179928760948,100.0
252,Marc Guiu Paz,0.0,0.0,0.0
453,Alejandro Garnacho Ferreyra,0.3904331670320757,0.14341721110908753,90.0
672,Jorrel Hato,0.0,0.0,0.0
253,Dean Henderson,0.0002875702308588906,0.0027860649126140694,100.0
